model,attribute,group,n,positive_rate,pr_auc,recall,precision,threshold
XGBoost+TabM,age,[90-100),416,0.12259615384615384,0.1880614909146155,0.29411764705882354,0.18292682926829268,0.4099999999999999
XGBoost+TabM,gender,Female,8168,0.11287952987267386,0.23723352031342274,0.4316702819956616,0.2251131221719457,0.4099999999999999
XGBoost+TabM,gender,Male,7096,0.11006200676437429,0.22009934779050883,0.38028169014084506,0.20412371134020618,0.4099999999999999
XGBoost+BestDeep(TabM),age,[0-10),26,0.0,,0.0,0.0,0.4099999999999999
XGBoost+BestDeep(TabM),age,[10-20),95,0.06315789473684211,0.20041476100798133,0.3333333333333333,0.2857142857142857,0.4099999999999999
XGBoost+BestDeep(TabM),age,[20-30),248,0.1532258064516129,0.4751245881126021,0.7631578947368421,0.3972602739726027,0.4099999999999999
XGBoost+BestDeep(TabM),age,[30-40),564,0.10815602836879433,0.24907054991917288,0.4262295081967213,0.2524271844660194,0.4099999999999999
XGBoost+BestDeep(TabM),age,[40-50),1401,0.10278372591006424,0.2761723236823289,0.4930555555555556,0.21712538226299694,0.4099999999999999
XGBoost+BestDeep(TabM),age,[50-60),2600,0.09192307692307693,0.22152359997913823,0.3807531380753138,0.2161520190023753,0.4099999999999999
XGBoost+BestDeep(TabM),age,[60-70),3405,0.11600587371512482,0.2455656618626338,0.39746835443037976,0.23397913561847988,0.4099999999999999
XGBoost+BestDeep(TabM),age,[70-80),3966,0.11699445284921836,0.2164274259056601,0.4051724137931034,0.20434782608695654,0.4099999999999999
XGBoost+BestDeep(TabM),age,[80-90),2544,0.11988993710691824,0.19703675707813226,0.380327868852459,0.18739903069466882,0.4099999999999999
XGBoost+BestDeep(TabM),age,[90-100),416,0.12259615384615384,0.1880614909146155,0.29411764705882354,0.18292682926829268,0.4099999999999999
XGBoost+BestDeep(TabM),gender,Female,8168,0.11287952987267386,0.23723352031342274,0.4316702819956616,0.2251131221719457,0.4099999999999999
XGBoost+BestDeep(TabM),gender,Male,7096,0.11006200676437429,0.22009934779050883,0.38028169014084506,0.20412371134020618,0.4099999999999999
AllAvailableModels,age,[0-10),26,0.0,,0.0,0.0,0.20999999999999996
AllAvailableModels,age,[10-20),95,0.06315789473684211,0.20404111604769498,0.16666666666666666,0.2,0.20999999999999996
AllAvailableModels,age,[20-30),248,0.1532258064516129,0.47851023686711125,0.7631578947368421,0.42028985507246375,0.20999999999999996
AllAvailableModels,age,[30-40),564,0.10815602836879433,0.2601472164136302,0.39344262295081966,0.24242424242424243,0.20999999999999996
AllAvailableModels,age,[40-50),1401,0.10278372591006424,0.283697067066229,0.4930555555555556,0.22611464968152867,0.20999999999999996
AllAvailableModels,age,[50-60),2600,0.09192307692307693,0.23007976232137203,0.35564853556485354,0.21739130434782608,0.20999999999999996
AllAvailableModels,age,[60-70),3405,0.11600587371512482,0.24216489238773065,0.379746835443038,0.2336448598130841,0.20999999999999996
AllAvailableModels,age,[70-80),3966,0.11699445284921836,0.21632670690573105,0.3922413793103448,0.20066152149944874,0.20999999999999996
AllAvailableModels,age,[80-90),2544,0.11988993710691824,0.1981318051503519,0.36721311475409835,0.19210977701543738,0.20999999999999996
AllAvailableModels,age,[90-100),416,0.12259615384615384,0.213330797558029,0.37254901960784315,0.2235294117647059,0.20999999999999996
AllAvailableModels,gender,Female,8168,0.11287952987267386,0.23708295127025758,0.4121475054229935,0.2235294117647059,0.20999999999999996
AllAvailableModels,gender,Male,7096,0.11006200676437429,0.22507955460634854,0.37516005121638923,0.21003584229390682,0.20999999999999996
Stacking LogReg C=0.1,age,[0-10),26,0.0,,0.0,0.0,0.58
Stacking LogReg C=0.1,age,[10-20),95,0.06315789473684211,0.1699134199134199,0.0,0.0,0.58
Stacking LogReg C=0.1,age,[20-30),248,0.1532258064516129,0.47946433248990494,0.7894736842105263,0.42857142857142855,0.58
Stacking LogReg C=0.1,age,[30-40),564,0.10815602836879433,0.25226038011991114,0.39344262295081966,0.25,0.58
Stacking LogReg C=0.1,age,[40-50),1401,0.10278372591006424,0.27711838956093315,0.4791666666666667,0.22258064516129034,0.58
Stacking LogReg C=0.1,age,[50-60),2600,0.09192307692307693,0.21597314904020196,0.3263598326359833,0.2074468085106383,0.58
Stacking LogReg C=0.1,age,[60-70),3405,0.11600587371512482,0.24671234587792099,0.3670886075949367,0.23848684210526316,0.58
Stacking LogReg C=0.1,age,[70-80),3966,0.11699445284921836,0.21836210884815438,0.3599137931034483,0.19976076555023922,0.58
Stacking LogReg C=0.1,age,[80-90),2544,0.11988993710691824,0.20182839216944337,0.32786885245901637,0.1926782273603083,0.58
Stacking LogReg C=0.1,age,[90-100),416,0.12259615384615384,0.18715598815143256,0.23529411764705882,0.17391304347826086,0.58
Stacking LogReg C=0.1,gender,Female,8168,0.11287952987267386,0.23713821113500574,0.3872017353579176,0.22753346080305928,0.58
Stacking LogReg C=0.1,gender,Male,7096,0.11006200676437429,0.224328748489107,0.34314980793854033,0.20318423047763456,0.58
Stacking LogReg C=1,age,[0-10),26,0.0,,0.0,0.0,0.58
Stacking LogReg C=1,age,[10-20),95,0.06315789473684211,0.16927239427239427,0.0,0.0,0.58
Stacking LogReg C=1,age,[20-30),248,0.1532258064516129,0.4796412666620733,0.7894736842105263,0.42857142857142855,0.58
Stacking LogReg C=1,age,[30-40),564,0.10815602836879433,0.2523582106723044,0.39344262295081966,0.24742268041237114,0.58
Stacking LogReg C=1,age,[40-50),1401,0.10278372591006424,0.27776548758253816,0.4791666666666667,0.22258064516129034,0.58
Stacking LogReg C=1,age,[50-60),2600,0.09192307692307693,0.21575871171491187,0.3263598326359833,0.20689655172413793,0.58
Stacking LogReg C=1,age,[60-70),3405,0.11600587371512482,0.2468250108257741,0.3670886075949367,0.23809523809523808,0.58
Stacking LogReg C=1,age,[70-80),3966,0.11699445284921836,0.21930630910412102,0.3599137931034483,0.20023980815347722,0.58
Stacking LogReg C=1,age,[80-90),2544,0.11988993710691824,0.20183527454340658,0.32786885245901637,0.19230769230769232,0.58
Stacking LogReg C=1,age,[90-100),416,0.12259615384615384,0.18696461076736326,0.23529411764705882,0.1791044776119403,0.58
Stacking LogReg C=1,gender,Female,8168,0.11287952987267386,0.23721345658565196,0.3872017353579176,0.22753346080305928,0.58
Stacking LogReg C=1,gender,Male,7096,0.11006200676437429,0.22437139139352852,0.34314980793854033,0.20318423047763456,0.58
